"","V1"
"105","Computability by nondeterministic program and the Moschovakis search computability@@@@@@Received: 03 February 1993 Issue Date: July 1994@@@@@@Search Computability
Nondeterministic Program"
"106","On a class of primality criteria@@@@@@Received: 22 July 1993 Issue Date: July 1994@@@@@@"
"107","A criterion for the Volterra property of boundary value problems for Sturm-Liouville equations@@@@@@Received: 11 November 1993 Issue Date: July 1994@@@@@@Volterra Property"
"108","The Smetanich logic 745-01745-01745-01and two definitions of a new intuitionistic connective@@@@@@Received: 23 June 1992 Revised: 02 December 1993 Issue Date: July 1994@@@@@@"
"109","On a simultaneous approximation of logarithms and algebraic powers of algebraic numbers@@@@@@Received: 09 August 1993 Issue Date: July 1994@@@@@@Algebraic Number
Simultaneous Approximation
Algebraic Power"
"110","Remark on the Serre (mod 5)-invariant for groups of typeE 8@@@@@@Received: 13 April 1993 Issue Date: July 1994@@@@@@"
"111","Continuous solutions of a generalized Cauchy-Riemann system with a finite number of singular points@@@@@@Received: 20 April 1992 Issue Date: July 1994@@@@@@Singular Point
Finite Number
Continuous Solution"
"112","RUC-bases inE(L ∞711-01711-01711-01B(H)) andF(C E)@@@@@@Received: 08 February 1993 Issue Date: July 1994@@@@@@"
"113","Pointwise multiplicators in weighted Sobolev spaces on a half-line@@@@@@Received: 22 December 1993 Issue Date: July 1994@@@@@@Sobolev Space
Weighted Sobolev Space
Pointwise Multiplicator"
"114","The formula of the regularized trace for the Laplace-Beltrami operator with odd potential on the sphereS 2@@@@@@Received: 15 November 1993 Issue Date: July 1994@@@@@@"
"115","The use-of-force: An interdisciplinary and behavioral science approach@@@@@@Issue Date: September 1995@@@The authors were confronted with developing a use-of-force/self-defense training program and were directly responsible for the implementation of this new inservice program. The authors found through the research, that the psychological factors were more important than the psychomotor self-defense tactics.@@@Intellectual Dimension
Learning Objective
Posttraumatic Stress Disorder
Uniform Crime Report
Criminal Psychology"
"116","Canadian Anaesthetists’ Society 53rd Annual Meeting@@@@@@Issue Date: October 1995@@@@@@"
"117","A source of haemorrhage in adult patients with moyamoya disease: The significance of tributaries from the choroidal artery@@@@@@Issue Date: November 1996@@@This study concerns 19 patients over 16 years of age with Moyamoya disease. Ten cases of intracranial haemorrhage, as the initial haemorrhagic event in patients aged from 21 to 55 (haemorrhagic group) and 9 cases of ischaemic events in 18- to 53-year-old patients (ischaemic group) were included. All haemorrhages were associated with intraventricular haemorrhages (IVH); and all but one case of thalamic haemorrhage were thought to be primary IVH (2 cases of small paraventricular haemorrhage; 2 of small haemorrhages in the splenium; 5 with no intracerebral haematoma). In the 9 patients of the ischaemic group, there were 2 cases of transient ischaemic attacks and 7 of cerebral infarction. Angiographic evaluations demonstrated that the abnormal basal vessel formation and the collateral supplies from the external carotid arteries were poorly developed in both groups. In contrast, the collateral circulation via the choroidal and posterior pericallosal arteries was well demonstrated. Furthermore, marked enlargement of the choroidal arteries and the medullary arteries derived from them was seen more frequently in the haemorrhagic group. These findings suggested that the haemodynamic load in the vessels supplying the walls of the posterior parts of the ventricles and the periventricular region was increased, especially in the haemorrhagic group. Those vessels were considered to be important sites of IVH in adult patients with Moyamoya disase.@@@Moyamoya disease
intraventricular haemorrhage
angiography
choroidal artery
medullary artery"
"118","Calf pregastric lipase catalyzed hydrolysis of short and medium chain-length monoacid triglycerides: Temperature, pH and lipid concentration effects@@@@@@Received: 13 October 1996 Accepted: 01 February 1997 Published: 03 October 2007 Publisher Name: Steinkopff Print ISBN: 978-3-7985-1096-8 Online ISBN: 978-3-7985-1659-5 eBook Packages: Springer Book Archive@@@The commercial extract from the oro-pharyngeal tissues of calf has been used as the source of pregastric lipase and has been processed to yield a partially purified sample of the pregastric lipase. The activity of this lipase against the short-chain lipid tributyrin has been determined over a range of pH and temperature values. Optimum pH conditions were within the range 5.7–6.4 and the optimum temperature was within 37–48 °C. The lipase was also used to catalyze the hydrolysis of monoacid triglycerides (C4∶0–C12∶0) at 40 °C, pH 6.0 and maximum activity was obtained against tributyrin (C4∶0). The values of the kinetic parameter K m increase with increasing carbon-chain length of the carboxylic moiety on the triglycerides, thus, indicating a preference for tributyrin under the stated conditions. The results are compared with results previously obtained utilising goat, kid and lamb pregastric lipases.

Key words
Calf
pregastric lipase
tributyrin
monoacid triglycerides
Michaelis
Menten parameters@@@Calf
pregastric lipase
tributyrin
monoacid triglycerides
Michaelis
Menten parameters"
"119","Effects of Excitatory Amino Acids on Cerebral Oxygen Consumption and Blood Flow in Rat@@@@@@Issue Date: June 1997@@@This investigation tested the importance of excitatory amino acids' effects on regional cerebral O2 consumption and the concomitant changes in cerebral blood flow (rCBF) in isoflurane anesthetized rats. In the glutamate or N-methyl-D-aspartate (NMDA) groups, 10−2 M glutamate or NMDA was topically applied to the right cortex and the left cortex was used as a control. One mg/kg dizocilpine maleate (MK-801), a non-competitive NMDA receptor antagonist, was administered (iv) to the MK-801 group and saline was given to the control group. Cortical rCBF was determined using 14C-iodoantipyrine and regional O2 extraction was measured microspectrophotometrically. Cerebral O2 consumption increased 77% after glutamate (contralateral cortex: 9.0 ± 1.1 ml O2/min/100 g, glutamate treated cortex: 15.9 ± 3.9), while a 46% increase was observed with the same concentration of NMDA (contralateral cortex: 9.8 ± 2.0, NMDA treated cortex: 14.3 ± 5.5). After MK-801, the O2 consumption decreased to 37% of the control value (control cortex: 7.0 ± 1.3, MK-801 treated cortex: 2.6 ± 3.9). MK-801 significantly decreased cerebral O2 extraction from 7.1 ± 1.3 ml O2/100 ml (control cortex) to 5.3 ± 0.6 (MK-801 treated cortex). However, there was no significant difference in cerebral O2 extraction between treated and contralateral cortex in either the glutamate or NMDA groups. The increase in O2 consumption caused by glutamate or NMDA was coupled with increased rCBF. Glutamate increased rCBF from 95 ± 5 ml/min/100 g (contralateral cortex) to 165 ± 31 (treated cortex), while NMDA increased rCBF from 114 ± 12 (contralateral cortex) to 178 ± 60 (treated cortex). MK-801 decreased O2 consumption with a lesser decrease of rCBF. The rCBF was 48 ± 9 in the MK-801 treated cortex and 99 ± 22 in the control cortex. Some substances produced by the activation of NMDA receptors may be related to the coupling of cerebral metabolism and blood flow, since after blockade of NMDA receptors with MK-801, this relationship is uncoupled. These findings suggest that glutamatergic processes have a major effect on cerebral O2 consumption and that this is at least partly due to NMDA receptors.@@@Glutamate
N-methyl-D-aspartate
MK-801
cerebral blood flow
cerebral O2 consumption
rat"
"120","Book Reviews@@@@@@Issue Date: September 1997@@@@@@"
"121","»Identität« und interkulturelle Erziehung@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Die Rede von der »kulturellen Identität« gehört inzwischen zum »Kleingeld« der Diskussion über interkulturelle Erziehung. Sie stellt eine besonders problematische Version des allgemein verbreiteten Identitätsbegriffs dar, dessen Bedeutung im Maße seiner grassierenden Verwendung an Klarheit verloren hat. Faszination hat dieser Begriff gewonnen, weil die Sehnsucht nach Einheit, Ganzheitlichkeit und Einmaligkeit auf ihn projiziert wird. Je unübersichtlicher und entstrukturierter die inneren und äußeren Verhältnisse von Personen werden, um so eher greifen sie auf eine Überschaubarkeit versprechende Vorstellung zurück. Die Verwendung des Begriffs signalisiert also zunächst einmal krisenhafte Erfahrungen; die Notwendigkeit zur Selbstvergewisserung ist ein Element von Krisen — ob sie durch die Rückwendung zu einem Zustand, in dem man »Identität« vermutet, bewältigt werden können, ist mehr als offen. Denn ein unvermittelter Rückgriff auf »alte« Gewißheiten kann in der Regel nur kurzfristig Sicherheit vermitteln. Dauerhaft können Krisen nur in der Bewältigung der mit ihnen verbundenen Entwicklungsaufgaben überwunden werden, was in der Regel die Erarbeitung neuer »Identitäten« erfordert.@@@"
"122","Universalität und Differenz@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Daß der Umgang mit dem Anderen, der sinnfälligen Fremdheit anderer Kulturen und ihres Selbstverständnisses, dem Subjekt der Moderne Schwierigkeiten macht, liegt nicht nur am Selbstbehauptungsmodell der Subjektivierung über die bewältigte Differenz, sondern zugleich an der fehlenden Notwendigkeit, sich auf die Andersartigkeit des Anderen einzulassen. Vom Standpunkt kolonialer Überlegenheit aus war — wie Todorov (1985) zeigt — das systematische Mißverständnis durchaus funktional, gestattete es doch mit der Abwertung der anderen Kultur die Sanktionierung nicht nur der waffentechnischen, sondern auch der intellektuellen Überlegenheit.@@@"
"123","Pluralität, Homogenität und Herrschaft@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Die Herausforderungen für Staat und Markt (und ihr Verhältnis zueinander), die sich durch die europäische Integration ergebenden, die durch die Arbeitskräftewanderungen entstandenen multikulturellen und multilingualen Gesellschaftsverhältnisse sowie die Internationalisierung der Lebensverhältnisse stellen die Erziehungswissenschaft und die Bildungssysteme vor neue Aufgaben. Die Neubestimmung der Allgemeinbildung in den postmodernen pluralen Gesellschaften sowie die Klärung des Verhältnisses von Individualität und Solidarität, Universalität und Partikularität, Pluralität und Homogenität/Uniformität sind schwieriger als je zuvor.@@@"
"124","Über die Schwierigkeiten einer Bestimmung des Verhältnisses von Universalität, Partikularität und Differenz für ein Bildungssystem nach der Apartheid@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Am 8. Februar 1996 wurde vom südafrikanischen Erziehungsminister Sibusiso Bengu angekündigt, daß in Zukunft nur zwei Schulkategorien vom Staat anerkannt werden: sogenannte »öffentliche« (staatlich unterstützte) Schulen einerseits und »unabhängige« (privat finanzierte) Schulen andererseits. Dadurch wurde die Existenzberechtigung der halbprivaten »Model-C« Schulen aufgehoben.2 Den meisten »weißen« Eltern des Landes wurde damit plötzlich klar, daß der Versuch des ehemaligen Regimes, ein Schlupfloch für die ehedem priviligierten weißen Bürgerinnen und Bürger im »neuen« Südafrika zu sichern, vergeblich gewesen war. Die Strategie, ihre von Kolonialismus und Apartheid geerbten Privilegien als Menschenrecht auf Diversität zu verkleiden, war durchschaut worden.@@@"
"125","Öffentlichkeit, Multikulturalität, Geschlechterverhältnis@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Die Teilung der Gesellschaft in einen öffentlichen und einen privaten Bereich gehört zu jenem Denken in Gegensätzen, das abendländische Logik und Philosophie auszeichnet (vgl. hierzu Klaus 1994). Der öffentliche Raum wird als Domäne des Mannes, der private als das Reich der Frau markiert. Durch Einwandernde wird eine andere Art der Definition von Öffentlichkeit und Privatheit in das gesellschaftliche Leben eingebracht. Im Zusammenhang mit der Struktur der Geschlechterverhältnisse verschiedener, im Einwanderungsprozeß aufeinandertreffender Gruppen wird im folgenden nach den Konsequenzen dieser anderen Definitionen gefragt bzw. ob und in welcher Form sie aufrechterhalten werden können. Des weiteren wird nach dem »kulturellen Raum« der Geschlechter (Nadig 1991) sowie nach dem Lebensraum von einzelnen Minoritäten — in einer Gesellschaft mit dem Zwang zum Universalismus gefragt. Anhand von empirischem Material werden im Kontext der thematischen Bereiche Geschlechterbilder und Vorstellungen von Modernität, Einstellungen zu Familie und Familienorientierung, Elternschaft bzw. Vaterschaft und Erziehung die Konzepte von Privatheit und Öffentlichkeit aus der Perspektive der Einwandernden selbst beschrieben.@@@"
"126","Die Gefährdung der Allgemeinbildung durch das Kopftuch. Eine Replik@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Die Verbindung von Kopftuchstreit und Allgemeinbildung ist eine gewollte Pointierung der wieder zunehmenden Auseinandersetzung über das Verhältnis von notwendigen zentralen oder gar universalistischen Normen — möglicherweise wenige, aber für alle verbindliche — und partikularistischen Werten — möglicherweise viele und unterschiedliche —, die gleichermaßen zu leben und auszudrücken gestattet und akzeptiert sein sollte und könnte. Und dieses »könnte« markiert den eigentlich interessierenden Punkt, nämlich die Frage nach der Grenzziehung: Wieviel Übereinkunft im Verhalten, in der Einstellung ist notwendig in einem Gemeinwesen, das zunehmend heterogen zusammengesetzt ist (»multikulturell«), und welches Ausmaß an unterschiedlichem Verhalten und vielfältigen Einstellungen ist tolerierbar, ja zu unterstützen, im Bildungsbereich zu integrieren, solange es nicht übergeordneten »zentralen« oder gar »universalistischen« Werten zuwiderläuft?@@@"
"127","Die Gefährdung der Allgemeinbildung durch das Kopftuch@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Es ist schwierig, das Problem des Kopftuchs in Frankreich und im französischen Erziehungssystem umfassend und dennoch kurz zu behandeln, denn das Problem ist mehrschichtig. Historische Daten, kulturelle und nationalpolitische Voraussetzungen spielen ebenso eine Rolle wie die spezifische französische Einstellung zur Erziehung, deren Sinn und ihrer Gestaltung, die Einstellung zur Religion und zu den Beziehungen zwischen Staat und Kirche, nicht zuletzt handelt es sich auch um eine philosophische Auseinandersetzung mit dem Begriff der »Allgemeinbildung« bzw. der »Allgemeinheit der Bildung«. Ich beschränke mich deshalb darauf, Hinweise zu geben, Stichpunkte, Fragen und Problematisierungen aneinanderzureihen, mehr im Sinne einer Stimulierung der Reflexion als zur Gewinnung letzter Gewißheiten.@@@"
"128","Sexy »Kanake«@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@In der letzten Reihe stecken Köpfe beisammen. Unterm Tisch geht es spannender zu als vorn an der Tafel. Silikonberge und gespreizte Schenkel erhitzen die Gemüter. Ein Pornoheft hat die Bruchrechnung zu Bruch gehen lassen. T. steht nun vor dem Lehrer und übt sich in Gelassenheit:.»Na und?« Er hat den aufmerksamkeitsträchtigen Störfaktor eingeschleust und möchte nun Mut demonstrieren.@@@"
"129","Nachwörtliche Bemerkungen zu Pluralität und Bildung@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Betrachtet man die Frage, was in der Schule lehrenswert und lernenswert sei und was so die Bildung der nachwachsenden Generation erzeugen soll, abgetrennt von der Frage, zu welchem gesellschaftlichen Zweck dies entschieden wird und wer diesen Zweck setzt, so kann man sich dem Bildungsproblem auf kontemplative Weise zuwenden. Was ein gebildeter Mensch ist und was nicht, welches Wissen, welche Fähigkeiten und Haltungen er innehaben muß und welche nicht, kann ohne Bedenken der Machtfrage in entspannter Manier diskutiert werden. Eingedenk der Machtfrage aber ergibt sich die Brisanz des Themas. Denn die Erwägung und Entscheidung darüber, was bezüglich Allgemeiner Bildung Allgemeingültigkeit haben soll, schließt ein, daß damit auch die Linien von Inklusion eines Teils der Menschen und Exklusion anderer gezeichnet sind. Dies gilt zumal, da nach geläufiger Vorstellung Schulbildung den Status von Bildung schlechthin besitzt: ein Erfolg des Umstands, daß mit der Herausbildung des Nationalstaats die öffentliche Schule als Anstalt der Vermittlung und Testierung allgemeiner Bildung etabliert wurde. Darin zeigt sich, neben anderem: Allgemeingültigkeitsentscheidungen werden in bestimmten historischen Machtkonstellationen getroffen, gehen auf in rechtlichen und organisationellen Strukturen und Regelungen, im Kanon allgemeiner Bildung — und nehmen so im Lauf der Zeit den Anschein des Unhintergehbaren an.@@@"
"130","Schlüsselprobleme der modernen Welt und die Aufgaben der Schule — Grundlinien einer neuen Allgemeinbildungskonzeption in internationaler/interkultureller Perspektive@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Meine Überlegungen zur Frage nach Pluralismus und Allgemeinheit oder — m.E. angemessener in umgekehrter Reihenfolge der Kernbegriffe — nach Allgemeinheit und Pluralismus der Bildung beziehe ich auf das Problem der interkulturellen bzw. internationalen Bildung.1 Dabei ist eine terminologische und zugleich inhaltliche Klärung notwendig.@@@"
"131","Fremdsprachendidaktik im Aufbruch: Zwischen Selbstverständnis und Fremdverstehen@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Die Fremdsprachendidaktik befindet sich im Aufbruch: indem sie Fremdverstehen als ein wichtiges Ziel des Fremdsprachenunterrichts entdeckt, ändert sich ihr Selbstverständnis. Vielleicht auch umgekehrt: eben weil sie dabei ist, ein verändertes Selbstverständnis zu entwickeln, öffnet sie sich verstärkt der Problematik des Verstehens fremder Kultur(en) und der des Verständigens mit fremden, anderssprachigen Menschen als einem keineswegs »normalen«, unproblematischen und doch in Europa wie weltweit so dringlichen Geschäft. Mein Beitrag gliedert sich in sechs Teile:

Fremdsprachendidaktik und Markt — Öffnung, Risiken und Chancen oder: Quantität, Qualität und die Entwertung der Nützlichkeit

Fremdsprachendidaktik im Aufbruch: Von der kommunikativen Didaktik zu Interkulturalität und Mehrsprachigkeit oder: die Wiederentdeckung von Bildung

Fremdverstehen: Grundlagen interkulturellen Lernens und Kommunizierens — der Beitrag des Fremdsprachenunterrichts

Sprachbewußtheit, Metakognition und Prozeßorientierung oder: Von language awareness, Sprachvergleich, der Bewußtmachung prozeduralen Lernens und der Förderung strategischer Potentiale

Auf dem Wege zur Lernerautonomie oder: Perspektiven eines selbständigen, lebenslangen Weiterlernens

Fremdsprachendidaktik und ihr erweitertes Selbstverständnis: Erste Umrisse einer interkulturellen Didaktik — Von der Schwierigkeit fächerübergreifenden Denkens sowie interdisziplinärer Lösungen und Praxis.@@@"
"132","Lingua Franca und Gemeinsprache@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Was ich im folgenden unternehme, ist ziemlich gewagt, wenn nicht gar unerlaubt: über respektable Zäune hinweg quer durch fremde Gärten zu streifen und allerlei zusammenzusuchen, was deren kundige Besteller in anderen Ordnungen kultivieren. Den Altphilologen in mir reizt zwar die Frage, die die Herausgeber ihm gestellt haben, dem Erziehungswissenschaftler aber machen die Weiterungen, in die sie führt, Skrupe.1 Diese hintanzustellen rät nur die Beobachtung, daß die hier thematisierte Frage, so naheliegend sie ist, doch selten gestellt und bearbeitet wird, wohl weil sie in die Fuge zwischen zwei Diskursen fällt: In der Tradition der Diskussion über Allgemeine Bildung spielt zwar Sprachbewußtsein und -kultivierung eine große Rolle, aber daß Funktionieren einer gemeinsamen Sprache in unserer Gesellschaft wird dabei selbstverständlich und unproblematisch vorausgesetzt; im Zusammenhang der Diskussion über interkulturelle Erziehung wiederum steht zunächst die Sorge im Zentrum, ob und wie Recht und Würde unterschiedlicher kultureller Bindungen und Orientierungen — auch der Sprachen — von Minoritäten gegenüber allzu verständlich dominanten Standards der Mehrheit — auch in der Sprache — gewahrt oder überhaupt erst durchgesetzt werden können. Ist es also möglich, die Fuge zu schließen?@@@"
"133","Modes of representation and the goals of education: rethinking the place of language in education in pluri-cultural societies@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@In this paper I would like to challenge radically the implicit equation of language and cognition which I believe underlies and underpins much educational thinking. Specifically I wish to suggest that this equation underpins much of the present educational thinking and practice in relation to multicultural/pluricultural societies. On the one hand I want to do so by suggesting that other modes of communication are becoming more significant (or, that the significance of other modes of communication is coming to be recognized) and that this forces a re-evaluation of language in any case. On the other hand I want to suggest that different modes of communication afford distinct potentials (and come with distinct limitations) for engagement with the. natural and the social world. Modes of communication are therefore likely to be representationally and communicationally specialized. In this respect, and as with language, the effects of socio-cultural actions over time will of course have led to culturally distinct codes in these modes of representation, just as they have in relation to language. The political and ethical questions of equity and access, as well as the pedagogical questions of learning and cognition therefore arise in relation to other modes of representation and communication.@@@"
"134","Die Juden als Repräsentanten des Universellen. Zur gesellschaftspolitischen Ambivalenz klassischer Bildungstheorie@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Dieser Tagebuch-Eintrag Wilhelm von Humboldts ist zweihundert Jahre alt, er datiert vom Mai 1798. Insbesondere auf seinen abschließenden Satz ist im Verlauf unseres Jahrhunderts unter gegensätzlichen historischen und gesellschaftspolitischen Perspektiven wiederholt Bezug genommen worden. Ich nehme ihn hier zum Anlaß und Ausgangspunkt für die Rekonstruktion einer grundlegenden gesellschaftspolitischen Ambivalenz, die der klassischen Bildungstheorie innewohnt und die es für den aktuellen Diskussionszusammenhang von Pluralität und Bildung zu gewärtigen gilt.@@@"
"135","Ethnizität in der Jugendkultur@@@@@@Publisher Name: VS Verlag für Sozialwissenschaften, Wiesbaden Print ISBN: 978-3-8100-1825-0 Online ISBN: 978-3-663-11056-9 eBook Packages: Springer Book Archive@@@Die demographischen und politischen Veränderungen, die Europa im ausklingenden 20. Jahrhundert erlebt, lassen der Jugend eine besondere Bedeutung zukommen. Es entstehen nicht nur neue soziale und politische Handlungsmuster; vielmehr werden inzwischen die überkommenen Diskurse über Zugehörigkeit zur Gesellschaft, über Lebensabläufe und Identität, die uns so lange gut gedient haben, als unangemessen dafür angesehen, die Zukunft zu »denken«. Vor allem weil manche nationale Grenzen offener wurden, gleichzeitig andere gerade neu gezogen werden oder die Rationalisierung von Grenzziehungen den veränderten Verhältnissen angepaßt wird, gewinnt das Problem der Ethnizität und ethnischer Identität besondere Bedeutung und verursacht einigen Klärungsbedarf.@@@"
"136","@@@@@@Book Title: Pluralität und Bildung Editors: Ingrid Gogolin, Marianne Krüger-Potratz, Meinert A. Meyer Series Title: Schriften der DGfE DOI: https://doi.org/10.1007/978-3-663-11056-9 Publisher: VS Verlag für Sozialwissenschaften Wiesbaden eBook Packages: Springer Book Archive Copyright Information: Springer Fachmedien Wiesbaden 1998 Softcover ISBN: 978-3-8100-1825-0 eBook ISBN: 978-3-663-11056-9 Edition Number: 1 Number of Pages: 276 Number of Illustrations: 12 b/w illustrations Topics: Society@@@@@@"
"137","Effect of Catheter Tip Length and Position on Lesion Volume in Temperature Controlled RF Ablation in Canine Tricuspid Valve Annulus@@@@@@Issue Date: September 1998@@@Background: Radiofrequency (RF) energy has been delivered to the tricuspid valve annulus (TVA) in humans with both 4 mm and 8 mm long catheter tip electrodes to treat atrial flutter. However, lesion volume with temperature controlled RF delivery systems has not been previously characterized.

Methods: In 10 anesthetized canines, a single pulse of temperature controlled RF energy at a 70°C set point, 30 second duration was delivered with either a 7 Fr/4 mm tip or a 7 Fr/8 mm tip electrode in a position both anterolateral and posteroseptal to the tricuspid valve annulus (TVA). Surface echocardiogram was obtained prior and after ablation. The animals were sacrificed after ablation and the lesions underwent gross and histological examination.

Results: Lesion size, tip temperature and power were related to tip electrode surface area (SA). Eight mm tips (SA = 59 mm2) tended to create significantly larger lesions than 4 mm tips (SA = 29 mm2). Median lesion volume was 22 vs. 1.5 mm3, respectively. Eight mm tips were also associated with higher power requirements and lower temperatures than 4 mm tips. Posteroseptal TVA lesions tended to be larger than anterolateral lesions. No significant complications were noted.

Conclusions: Using temperature controlled RF ablation, large lesions may be safely created on the canine TVA using 7 Fr catheters with 8 mm long tips.@@@radiofrequency ablation
lesion volume
temperature controlled
electrode tip length"
"138","Robot path planning using models of fluid mechanics@@@@@@Published: 24 September 2007 Publisher Name: Springer, London Print ISBN: 978-1-85233-123-8 Online ISBN: 978-1-84628-535-6 eBook Packages: Springer Book Archive@@@This chapter has revealed the new advantages provided by the addition of viscosity and friction to the classical implementations of well-known harmonic functions. The proposed model, similar to the Stokes equations of the fluid mechanics, allows one to get a set of admissible paths and is applicable to multi-goal problems for robotic vehicles on uneven terrain. The latter planning is obtained without additional computation.

A point-to-point application on a real terrain has been compared to the genetic algorithms principles applied to the computation of near-optimal routes and gives similar results, while directly adding continuity in the velocities and accelerations without additional trajectory smoothing.

The method is also an interesting way to get preferential routes for indoor industrial robots and motorised aids for the disabled.

Further research will include optimising the terrain meshing in order to reduce the number of equations, and experiments on the site with the robot.

The planned routes are also currently under investigation for multiple-robot behaviour optimisation, following the multiple-agent theories with communication.

Keywords
Genetic Algorithm
Mobile Robot
Path Planning
Digital Elevation Model
Robot Navigation

These keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.@@@Genetic Algorithm
Mobile Robot
Path Planning
Digital Elevation Model
Robot Navigation"
"139","Creating dynamic mobile robot environments from an intelligent building@@@@@@Published: 24 September 2007 Publisher Name: Springer, London Print ISBN: 978-1-85233-123-8 Online ISBN: 978-1-84628-535-6 eBook Packages: Springer Book Archive@@@The integration of mobile robots within an intelligent infrastructure permus the services required of mobile robots to be more easily and readily realisable. The marketability of mobile robots will only improve if they can be incorporated into the building process. The infrastructure described in this paper provides services aimed at supporting the tasks of mobile robots and allows the robots to interface to existing systems. This will ultimately lead to cheaper less complex robots. Further work is necessary to provide further cues as to the nature of the robot-network communications in real healthcare environments. The effects of varying network traffic and the latencies incurred can only become evident when the robots are situated in a more active environment.

Keywords
Mobile Robot
Optimum Route
Autonomous Robot
Reply Agent
Multiple Robot

These keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.@@@Mobile Robot
Optimum Route
Autonomous Robot
Reply Agent
Multiple Robot"
"140","A framework for the integration of perception and localization systems over mobile platforms@@@@@@Published: 24 September 2007 Publisher Name: Springer, London Print ISBN: 978-1-85233-123-8 Online ISBN: 978-1-84628-535-6 eBook Packages: Springer Book Archive@@@This chapter has presented a localisation module integrated into a perception system for mobile systems. It has been stressed the efficiency of the collaboration of three integrated methods of localisation. It appears that the main advantage of such a localisation system lies in its ability to integrate heterogeneous sensor information and so to be configurable depending on the environment encountered.

However, the purpose of that architecture is not just to estimate the position of the robot. Its matching and its integration of the information provide a sorting out of the information intended to the next two steps of the perception module that are rough mapping and refined mapping. The rough mapping issue makes use of the integrated information to provide a safety modelling of the environment. The refined mapping issue exploits the information rejected by the matching to update a static modelling of the environment.

Keywords
Mobile Robot
Mobile Platform
Multisensor Integration
Ultrasonic Sensor
Perception Module

These keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.@@@Mobile Robot
Mobile Platform
Multisensor Integration
Ultrasonic Sensor
Perception Module"
